fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance_km,hour,day,month,weekday,peak_hour
7.5,2015-05-07 19:52:06+00:00,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1.0,1.6833227524029715,19,7,5,3,1
7.7,2009-07-17 20:04:56+00:00,-73.994355,40.728225,-73.99471,40.750325,1.0,2.4575898837790673,20,17,7,4,0
12.9,2009-08-24 21:45:00+00:00,-74.005043,40.74077,-73.962565,40.772647,1.0,5.036377190242826,21,24,8,0,0
5.3,2009-06-26 08:22:21+00:00,-73.976124,40.790844,-73.965316,40.803349,3.0,1.6616834584355225,8,26,6,4,1
16.0,2014-08-28 17:47:00+00:00,-73.925023,40.744085,-73.97308199999999,40.761247,5.0,4.475449963028309,17,28,8,3,1
4.9,2011-02-12 02:27:09+00:00,-73.96901899999999,40.75591,-73.96901899999999,40.75591,1.0,0.0,2,12,2,5,0
24.5,2014-10-12 07:04:00+00:00,-73.96144699999999,40.693965000000006,-73.871195,40.774297,5.0,11.731014883538833,7,12,10,6,1
2.5,2012-12-11 13:52:00+00:00,0.0,0.0,0.0,0.0,1.0,0.0,13,11,12,1,0
9.7,2012-02-17 09:32:00+00:00,-73.975187,40.745767,-74.00272,40.743537,1.0,2.3327110093402283,9,17,2,4,1
12.5,2012-03-29 19:06:00+00:00,-74.001065,40.741787,-73.96304,40.775012,1.0,4.889416888104309,19,29,3,3,1
6.5,2015-05-22 17:32:27+00:00,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1.0,2.250857621860387,17,22,5,4,1
8.5,2011-05-23 22:15:00+00:00,0.0,0.0,0.0,0.0,1.0,0.0,22,23,5,0,0
3.3,2011-05-17 14:03:00+00:00,-73.966378,40.80444,-73.96589,40.807133,5.0,0.3022516933680879,14,17,5,1,0
10.9,2011-06-25 11:19:00+00:00,-73.953352,40.767382,-73.97251,40.796137,1.0,3.581250827378853,11,25,6,5,0
6.9,2010-04-06 22:20:27+00:00,-73.97336999999999,40.755193,-73.97826500000001,40.766375,1.0,1.3099499000116586,22,6,4,1,0
